image,SAD,MSE,MAD,Grad,Conn
001.png,22.326463,9.313376,21.292174,41.478706,20.373775
002.png,18.653675,8.884124,17.789530,29.986569,9.600251
003.png,47.494627,39.625554,45.294406,16.145375,44.947945
004.png,24.244176,14.812000,23.121048,30.561869,11.390494
005.png,25.844208,15.398611,24.646957,40.507939,25.445816
006.png,24.362647,15.596087,23.234031,29.929519,14.046090
007.png,2.766408,0.523828,2.638252,2.854921,2.275773
008.png,13.510153,6.871462,12.884286,20.636754,11.111741
009.png,13.571078,7.025320,12.942389,15.977820,7.615937
010.png,11.343173,4.653167,10.817692,13.449551,7.041588
o_1b6adf19.png,2.844929,0.477290,2.713136,3.207328,2.395380
o_1edbc402.png,8.925349,4.638898,8.511876,19.265178,5.692580
o_2309157d.png,121.393333,107.636848,115.769704,29.222639,8.961035
o_26b16002.png,15.106737,11.559574,14.406907,23.400149,2.259678
o_28ad039c.png,7.921384,2.132106,7.554421,18.105294,5.263949
o_599b2611.png,4.376898,0.909694,4.174135,6.306546,3.010286
o_6aad0ebc.png,7.059431,3.858290,6.732398,11.878727,3.123486
o_7b1db264.png,15.825898,8.966016,15.092752,22.971114,5.833027
o_7c88f64e.png,3.416949,0.380751,3.258657,1.320032,3.165843
o_82a97798.png,4.708416,1.144909,4.490295,6.923964,3.386506
o_8e2eb72f.png,8.652290,1.179857,8.251467,8.521168,7.134745
o_8ede15d6.png,17.053506,5.056392,16.263491,26.813067,12.182259
o_97a204f5.png,2.985714,0.545022,2.847398,5.253027,2.134325
o_9dbaf589.png,12.867157,9.569491,12.271077,9.375590,2.927686
o_b596f919.png,49.799063,43.747714,47.492087,21.632609,3.662576
o_be721ca0.png,4.677008,1.818750,4.460342,8.258600,3.248369
o_c2cf00c3.png,19.475392,10.055595,18.573181,31.783204,9.137824
o_dbef692f.png,2.632267,0.112760,2.510325,0.853925,2.419118
o_f67dd514.png,6.759682,2.114830,6.446535,12.781425,4.638173
o_fee0e426.png,6.479157,1.364472,6.179005,9.956671,5.169380
